arxiv_id,concept_iri,canonical_label,usage_context,extraction_rule
2606.19288v1,http://cll.niimm.ksu.ru/ontologies/mathematics#E1700,Gradient,bound difference quotients of a function in terms of certain weighted $L^p$ norms of its gradient.,MathEntRuler lexical concept match
2606.19284v1,http://cll.niimm.ksu.ru/ontologies/mathematics#E847,Set,"trol actions. We propose a projected primal-dual algorithm where the true dual constraint sets are replaced by surrogate sets. Our main result is an upper bound on the mean-square tracking error, which d",MathEntRuler lexical concept match
2606.19284v1,http://cll.niimm.ksu.ru/ontologies/mathematics#E1301,Operation,nline feedback optimization (OFO) leverages real-time output measurements to optimize the operation of networked systems without requiring full knowledge of system dynamics or disturbances. We develop an OFO a,MathEntRuler lexical concept match
2606.19284v1,http://cll.niimm.ksu.ru/ontologies/mathematics#E1168,Line,ted Stochastic Gradient Descent with Decision Dependent Distributions: Extended Version Online feedback optimization (OFO) leverages real-time output measurements to optimize the operation of networked sy,MathEntRuler lexical concept match
2606.19284v1,http://example.org/mathkg/Mean,Mean,"constraint sets are replaced by surrogate sets. Our main result is an upper bound on the mean-square tracking error, which decomposes into four interpretable terms reflecting: (i) the stochasticity of th",MathEntRuler lexical concept match
2606.19284v1,http://cll.niimm.ksu.ru/ontologies/mathematics#E1700,Gradient,Projected Stochastic Gradient Descent with Decision Dependent Distributions: Extended Version Online feedback optimization (OFO) leverages,MathEntRuler lexical concept match
2606.19284v1,http://cll.niimm.ksu.ru/ontologies/mathematics#E2271,Ring,real-time output measurements to optimize the operation of networked systems without requiring full knowledge of system dynamics or disturbances. We develop an OFO approach for constrained stochastic opti,MathEntRuler lexical concept match
2606.19279v1,http://cll.niimm.ksu.ru/ontologies/mathematics#E1505,Function,egation structure on truth-values. NeSyCat has so far lacked an account of predicates and functions learned by neural networks. We provide NeSyCat Torch as the missing link and interpret computational symbols,MathEntRuler lexical concept match
2606.19279v1,http://cll.niimm.ksu.ru/ontologies/mathematics#E1315,Addition,"tation, monadic bind performs marginalisation, lazily pruning unneeded branches. On MNIST addition, our HaskTorch, JAX, and PyTorch implementations outperform LTN and DeepProbLog in speed and accuracy, while",MathEntRuler lexical concept match
2606.19279v1,http://cll.niimm.ksu.ru/ontologies/mathematics#E2410,Probability,"the monad; instantiating it with, e.g., the Giry monad extends the approach to continuous probability (working out a neural representation here is left for future work).",MathEntRuler lexical concept match
